month,opening,white_bucket,black_bucket,games,white_pct,black_pct,draw_pct
2013-01,King's Pawn Game: Wayward Queen Attack,1500,1400,55,52.727,47.273,0.000
2013-01,Sicilian Defense,1400,1500,55,47.273,50.909,1.818
2013-01,King's Pawn Game: Wayward Queen Attack,1300,1500,55,32.727,63.636,3.636
2013-01,Pirc Defense #4,1400,1400,54,38.889,61.111,0.000
2013-01,Modern Defense,1400,1600,54,37.037,55.556,7.407
2013-01,Sicilian Defense,1500,1700,54,25.926,74.074,0.000
2013-01,English Defense #2,1600,1500,54,51.852,44.444,3.704
2013-01,Horwitz Defense,1400,1300,54,72.222,25.926,1.852
2013-01,Owen Defense,1500,1700,53,28.302,71.698,0.000
2013-01,Bishop's Opening: Berlin Defense,1500,1600,53,39.623,54.717,5.660
2013-01,Queen's Pawn Game: Chigorin Variation,1700,1500,53,58.491,39.623,1.887
2013-01,Queen's Pawn Game: Mason Attack,1500,1500,53,47.170,49.057,3.774
2013-01,Owen Defense,1600,1400,53,56.604,39.623,3.774
2013-01,Sicilian Defense: McDonnell Attack,1700,1800,52,34.615,57.692,7.692
2013-01,King's Pawn Game: Leonardis Variation,1500,1600,52,30.769,61.538,7.692
2013-01,Queen's Pawn Game #2,1500,1600,52,44.231,50.000,5.769
2013-01,French Defense: Knight Variation,1400,1400,52,57.692,38.462,3.846
2013-01,Owen Defense,1800,1700,52,65.385,28.846,5.769
2013-01,Sicilian Defense: Old Sicilian,1600,1600,52,48.077,51.923,0.000
2013-01,Owen Defense,1800,1500,52,76.923,21.154,1.923
2013-01,Scandinavian Defense,1400,1500,52,40.385,57.692,1.923
2013-01,Scotch Game,1600,1500,51,58.824,37.255,3.922
2013-01,Bishop's Opening: Berlin Defense,1500,1400,51,68.627,31.373,0.000
2013-01,Sicilian Defense: Bowdler Attack,1600,1700,51,41.176,54.902,3.922
2013-01,Horwitz Defense,1600,1700,51,43.137,56.863,0.000
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1700,1800,51,31.373,60.784,7.843
2013-01,Hungarian Opening: Symmetrical Variation,1600,1500,51,80.392,19.608,0.000
2013-01,Sicilian Defense: McDonnell Attack,1700,1700,51,50.980,47.059,1.961
2013-01,Queen's Pawn Game #2,1300,1300,51,43.137,54.902,1.961
2013-01,Van't Kruijs Opening,1700,1800,51,35.294,62.745,1.961
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1400,1500,51,52.941,45.098,1.961
2013-01,Queen's Pawn Game: Zukertort Variation,1700,1600,50,62.000,36.000,2.000
2013-01,English Defense #2,1700,1600,50,66.000,32.000,2.000
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1600,1300,50,80.000,14.000,6.000
2013-01,French Defense: Knight Variation,1600,1700,50,40.000,56.000,4.000
2013-01,Scandinavian Defense,1700,1700,50,52.000,48.000,0.000
2013-01,Scandinavian Defense,1400,1300,50,48.000,46.000,6.000
2013-01,Horwitz Defense,1700,1800,49,32.653,65.306,2.041
2013-01,Bishop's Opening,1600,1600,49,55.102,38.776,6.122
2013-01,Italian Game: Anti-Fried Liver Defense,1500,1600,49,36.735,57.143,6.122
2013-01,Philidor Defense #2,1600,1600,49,59.184,38.776,2.041
2013-01,Bishop's Opening,1600,1400,49,63.265,30.612,6.122
2013-01,Bishop's Opening,1600,1700,49,32.653,59.184,8.163
2013-01,Hungarian Opening: Slav Formation,1600,1500,49,51.020,46.939,2.041
2013-01,Bishop's Opening: Berlin Defense,1400,1500,49,46.939,51.020,2.041
2013-01,Sicilian Defense: Old Sicilian,1500,1600,49,42.857,53.061,4.082
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1500,1200,48,75.000,20.833,4.167
2013-01,Queen's Pawn Game: Mason Attack,1400,1400,48,52.083,45.833,2.083
2013-01,Bishop's Opening,1500,1300,48,79.167,18.750,2.083
2013-01,Hungarian Opening: Slav Formation,1600,1600,48,72.917,27.083,0.000
2013-01,King's Pawn Game: Leonardis Variation,1400,1500,48,39.583,58.333,2.083
2013-01,Ruy Lopez: Steinitz Defense,1400,1500,48,45.833,47.917,6.250
2013-01,Indian Game,1600,1600,48,43.750,54.167,2.083
